GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,31,10,0,0,10,4,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,10,7,0,0,4,2,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,91,7,4,0,27,2,8,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,137,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,88,7,4,0,26,2,8,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,91,7,4,0,27,2,8,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,91,7,4,0,27,2,8,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,91,7,4,0,27,2,8,2,6,2
spring-boot-skeleton,com.nnk.springboot.controllers,SignupController,80,10,6,0,20,4,5,2,2,2
spring-boot-skeleton,com.nnk.springboot.service,TradeService,50,7,0,0,10,2,5,2,5,2
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,50,7,0,0,10,2,5,2,5,2
spring-boot-skeleton,com.nnk.springboot.service,OAuth2UserService,9,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.service,AccessUserDetailService,43,10,2,0,9,4,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,50,7,0,0,10,2,5,2,5,2
spring-boot-skeleton,com.nnk.springboot.service,BidListService,50,7,0,0,10,2,5,2,5,2
spring-boot-skeleton,com.nnk.springboot.service,UserService,126,10,4,0,21,4,7,2,5,2
spring-boot-skeleton,com.nnk.springboot.service,CurveService,50,7,0,0,10,2,5,2,5,2
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,97,0,0,0,24,0,4,0,4
spring-boot-skeleton,com.nnk.springboot,Application,8,7,0,0,3,2,1,2,1,2
spring-boot-skeleton,com.nnk.springboot.domain,Rating,56,3,0,0,23,1,12,1,12,1
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,76,3,0,0,31,1,16,1,16,1
spring-boot-skeleton,com.nnk.springboot.domain,Trade,216,3,0,0,87,1,44,1,44,1
spring-boot-skeleton,com.nnk.springboot.domain,BidList,226,3,0,0,91,1,46,1,46,1
spring-boot-skeleton,com.nnk.springboot.domain,OAuth2Access,26,0,0,0,7,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.domain,User,35,3,0,0,15,1,10,1,10,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,66,3,0,0,27,1,14,1,14,1
